season,celebrity_name,rule,predicted_placement,placement
19,Lolo Jones,fair,13,13
19,Tavis Smiley,fair,12,12
19,Randy Couture,fair,11,11
19,Betsey Johnson,fair,10,10
19,Jonathan Bennett,fair,9,9
19,Antonio Sabato Jr.,fair,8,8
19,Michael Waltrip,fair,7,7
19,Lea Thompson,fair,6,6
19,Tommy Chong,fair,5,5
19,Sadie Robertson,fair,1,2
19,Janel Parrish,fair,1,3
19,Alfonso Ribeiro,fair,1,1
19,Bethany Mota,fair,1,4
19,Lolo Jones,rank,13,13
19,Tavis Smiley,rank,12,12
19,Randy Couture,rank,11,11
19,Betsey Johnson,rank,10,10
19,Jonathan Bennett,rank,9,9
19,Antonio Sabato Jr.,rank,8,8
19,Michael Waltrip,rank,7,7
19,Lea Thompson,rank,6,6
19,Tommy Chong,rank,5,5
19,Sadie Robertson,rank,1,2
19,Janel Parrish,rank,1,3
19,Alfonso Ribeiro,rank,1,1
19,Bethany Mota,rank,1,4
19,Lolo Jones,percent,13,13
19,Tavis Smiley,percent,12,12
19,Randy Couture,percent,11,11
19,Betsey Johnson,percent,10,10
19,Jonathan Bennett,percent,9,9
19,Antonio Sabato Jr.,percent,8,8
19,Michael Waltrip,percent,7,7
19,Lea Thompson,percent,6,6
19,Tommy Chong,percent,5,5
19,Sadie Robertson,percent,1,2
19,Janel Parrish,percent,1,3
19,Alfonso Ribeiro,percent,1,1
19,Bethany Mota,percent,1,4
20,Redfoo,fair,12,12
20,Charlotte McKinney,fair,11,11
20,Michael Sam,fair,10,10
20,Suzanne Somers,fair,9,9
20,Patti LaBelle,fair,8,8
20,Willow Shields,fair,7,7
20,Robert Herjavec,fair,6,6
20,Chris Soules,fair,5,5
20,Nastia Liukin,fair,4,4
20,Rumer Willis,fair,1,1
20,Noah Galloway,fair,1,3
20,Riker Lynch,fair,1,2
20,Redfoo,rank,12,12
20,Charlotte McKinney,rank,11,11
20,Michael Sam,rank,10,10
20,Suzanne Somers,rank,9,9
20,Patti LaBelle,rank,8,8
20,Willow Shields,rank,7,7
20,Chris Soules,rank,6,5
20,Robert Herjavec,rank,5,6
20,Nastia Liukin,rank,4,4
20,Rumer Willis,rank,1,1
20,Noah Galloway,rank,1,3
20,Riker Lynch,rank,1,2
20,Redfoo,percent,12,12
20,Charlotte McKinney,percent,11,11
20,Michael Sam,percent,10,10
20,Suzanne Somers,percent,9,9
20,Patti LaBelle,percent,8,8
20,Willow Shields,percent,7,7
20,Robert Herjavec,percent,6,6
20,Chris Soules,percent,5,5
20,Nastia Liukin,percent,4,4
20,Rumer Willis,percent,1,1
20,Noah Galloway,percent,1,3
20,Riker Lynch,percent,1,2
21,Gary Busey,fair,13,10
21,Paula Deen,fair,12,9
21,Hayes Grier,fair,11,8
21,Andy Grammer,fair,10,7
21,Tamar Braxton,fair,9,5
21,Alexa PenaVega,fair,8,6
21,Carlos PenaVega,fair,1,4
21,Victor Espinoza,fair,1,12
21,Kim Zolciak-Biermann,fair,1,11
21,Chaka Khan,fair,1,13
21,Bindi Irwin,fair,1,1
21,Nick Carter,fair,1,2
21,Alek Skarlatos,fair,1,3
21,Gary Busey,rank,13,10
21,Paula Deen,rank,12,9
21,Hayes Grier,rank,11,8
21,Andy Grammer,rank,10,7
21,Alexa PenaVega,rank,9,6
21,Tamar Braxton,rank,8,5
21,Carlos PenaVega,rank,1,4
21,Victor Espinoza,rank,1,12
21,Kim Zolciak-Biermann,rank,1,11
21,Chaka Khan,rank,1,13
21,Bindi Irwin,rank,1,1
21,Nick Carter,rank,1,2
21,Alek Skarlatos,rank,1,3
21,Gary Busey,percent,13,10
21,Paula Deen,percent,12,9
21,Hayes Grier,percent,11,8
21,Andy Grammer,percent,10,7
21,Tamar Braxton,percent,9,5
21,Alexa PenaVega,percent,8,6
21,Carlos PenaVega,percent,1,4
21,Victor Espinoza,percent,1,12
21,Kim Zolciak-Biermann,percent,1,11
21,Chaka Khan,percent,1,13
21,Bindi Irwin,percent,1,1
21,Nick Carter,percent,1,2
21,Alek Skarlatos,percent,1,3
22,Geraldo Rivera,fair,12,12
22,Mischa Barton,fair,11,11
22,Marla Maples,fair,10,10
22,Doug Flutie,fair,9,9
22,Kim Fields,fair,8,8
22,Von Miller,fair,7,7
22,Jodie Sweetin,fair,6,6
22,Antonio Brown,fair,5,5
22,Wanya Morris,fair,4,4
22,Nyle DiMarco,fair,1,1
22,Ginger Zee,fair,1,3
22,Paige VanZant,fair,1,2
22,Geraldo Rivera,rank,12,12
22,Mischa Barton,rank,11,11
22,Marla Maples,rank,10,10
22,Doug Flutie,rank,9,9
22,Kim Fields,rank,8,8
22,Von Miller,rank,7,7
22,Jodie Sweetin,rank,6,6
22,Paige VanZant,rank,5,2
22,Antonio Brown,rank,4,5
22,Nyle DiMarco,rank,1,1
22,Wanya Morris,rank,1,4
22,Ginger Zee,rank,1,3
22,Geraldo Rivera,percent,12,12
22,Mischa Barton,percent,11,11
22,Marla Maples,percent,10,10
22,Doug Flutie,percent,9,9
22,Kim Fields,percent,8,8
22,Von Miller,percent,7,7
22,Jodie Sweetin,percent,6,6
22,Antonio Brown,percent,5,5
22,Wanya Morris,percent,4,4
22,Nyle DiMarco,percent,1,1
22,Ginger Zee,percent,1,3
22,Paige VanZant,percent,1,2
23,Jake T. Austin,fair,13,13
23,Rick Perry,fair,12,12
23,Babyface,fair,11,11
23,Vanilla Ice,fair,10,10
23,Amber Rose,fair,9,9
23,Maureen McCormick,fair,8,8
23,Ryan Lochte,fair,7,7
23,Marilu Henner,fair,6,6
23,Terra Jole,fair,5,5
23,Calvin Johnson Jr.,fair,1,3
23,Jana Kramer,fair,1,4
23,James Hinchcliffe,fair,1,2
23,Laurie Hernandez,fair,1,1
23,Jake T. Austin,rank,13,13
23,Rick Perry,rank,12,12
23,Vanilla Ice,rank,11,10
23,Babyface,rank,10,11
23,Amber Rose,rank,9,9
23,Maureen McCormick,rank,8,8
23,Ryan Lochte,rank,7,7
23,Marilu Henner,rank,6,6
23,Terra Jole,rank,5,5
23,Calvin Johnson Jr.,rank,1,3
23,Jana Kramer,rank,1,4
23,James Hinchcliffe,rank,1,2
23,Laurie Hernandez,rank,1,1
23,Jake T. Austin,percent,13,13
23,Rick Perry,percent,12,12
23,Babyface,percent,11,11
23,Vanilla Ice,percent,10,10
23,Amber Rose,percent,9,9
23,Maureen McCormick,percent,8,8
23,Ryan Lochte,percent,7,7
23,Marilu Henner,percent,6,6
23,Terra Jole,percent,5,5
23,Calvin Johnson Jr.,percent,1,3
23,Jana Kramer,percent,1,4
23,James Hinchcliffe,percent,1,2
23,Laurie Hernandez,percent,1,1
24,Chris Kattan,fair,12,12
24,Charo,fair,11,11
24,Mr. T,fair,10,10
24,Erika Jayne,fair,9,9
24,Heather Morris,fair,8,8
24,Nick Viall,fair,7,6
24,Nancy Kerrigan,fair,6,7
24,Bonner Bolton,fair,5,5
24,Simone Biles,fair,4,4
24,Rashad Jennings,fair,1,1
24,Normani,fair,1,3
24,David Ross,fair,1,2
24,Chris Kattan,rank,12,12
24,Charo,rank,11,11
24,Mr. T,rank,10,10
24,Erika Jayne,rank,9,9
24,Heather Morris,rank,8,8
24,Nancy Kerrigan,rank,7,7
24,Nick Viall,rank,6,6
24,Bonner Bolton,rank,5,5
24,Simone Biles,rank,4,4
24,Rashad Jennings,rank,1,1
24,Normani,rank,1,3
24,David Ross,rank,1,2
24,Chris Kattan,percent,12,12
24,Charo,percent,11,11
24,Mr. T,percent,10,10
24,Erika Jayne,percent,9,9
24,Heather Morris,percent,8,8
24,Nick Viall,percent,7,6
24,Nancy Kerrigan,percent,6,7
24,Bonner Bolton,percent,5,5
24,Simone Biles,percent,4,4
24,Rashad Jennings,percent,1,1
24,Normani,percent,1,3
24,David Ross,percent,1,2
25,Barbara Corcoran,fair,13,13
25,Debbie Gibson,fair,12,12
25,Derek Fisher,fair,11,11
25,Sasha Pieterse,fair,10,10
25,Nick Lachey,fair,9,9
25,Nikki Bella,fair,8,8
25,Vanessa Lachey,fair,7,7
25,Terrell Owens,fair,6,6
25,Victoria Arlen,fair,5,5
25,Lindsey Stirling,fair,1,2
25,Jordan Fisher,fair,1,1
25,Drew Scott,fair,1,4
25,Frankie Muniz,fair,1,3
25,Debbie Gibson,rank,13,12
25,Barbara Corcoran,rank,12,13
25,Derek Fisher,rank,11,11
25,Sasha Pieterse,rank,10,10
25,Nick Lachey,rank,9,9
25,Vanessa Lachey,rank,8,7
25,Nikki Bella,rank,7,8
25,Terrell Owens,rank,6,6
25,Victoria Arlen,rank,5,5
25,Lindsey Stirling,rank,1,2
25,Jordan Fisher,rank,1,1
25,Drew Scott,rank,1,4
25,Frankie Muniz,rank,1,3
25,Barbara Corcoran,percent,13,13
25,Debbie Gibson,percent,12,12
25,Derek Fisher,percent,11,11
25,Sasha Pieterse,percent,10,10
25,Nick Lachey,percent,9,9
25,Nikki Bella,percent,8,8
25,Vanessa Lachey,percent,7,7
25,Terrell Owens,percent,6,6
25,Victoria Arlen,percent,5,5
25,Lindsey Stirling,percent,1,2
25,Jordan Fisher,percent,1,1
25,Drew Scott,percent,1,4
25,Frankie Muniz,percent,1,3
26,Johnny Damon,fair,10,9
26,Jamie Anderson,fair,9,10
26,Kareem Abdul-Jabbar,fair,8,8
26,Arike Ogunbowale,fair,7,7
26,Chris Mazdzer,fair,1,5
26,Jennie Finch Daigle,fair,1,6
26,Tonya Harding,fair,1,3
26,Adam Rippon,fair,1,1
26,Mirai Nagasu,fair,1,4
26,Josh Norman,fair,1,2
26,Jamie Anderson,rank,10,10
26,Johnny Damon,rank,9,9
26,Arike Ogunbowale,rank,8,7
26,Kareem Abdul-Jabbar,rank,7,8
26,Chris Mazdzer,rank,1,5
26,Jennie Finch Daigle,rank,1,6
26,Tonya Harding,rank,1,3
26,Adam Rippon,rank,1,1
26,Mirai Nagasu,rank,1,4
26,Josh Norman,rank,1,2
26,Johnny Damon,percent,10,9
26,Jamie Anderson,percent,9,10
26,Kareem Abdul-Jabbar,percent,8,8
26,Arike Ogunbowale,percent,7,7
26,Chris Mazdzer,percent,1,5
26,Jennie Finch Daigle,percent,1,6
26,Tonya Harding,percent,1,3
26,Adam Rippon,percent,1,1
26,Mirai Nagasu,percent,1,4
26,Josh Norman,percent,1,2
27,Nikki Glaser,fair,13,13
27,Danelle Umstead,fair,12,12
27,Nancy McKeon,fair,11,11
27,Tinashe,fair,10,10
27,Mary Lou Retton,fair,9,9
27,DeMarcus Ware,fair,8,7
27,John Schneider,fair,7,8
27,Joe Amabile,fair,6,6
27,Juan Pablo Di Pace,fair,5,5
27,Evanna Lynch,fair,1,3
27,Milo Manheim,fair,1,2
27,Bobby Bones,fair,1,1
27,Alexis Ren,fair,1,4
27,Nikki Glaser,rank,13,13
27,Danelle Umstead,rank,12,12
27,Nancy McKeon,rank,11,11
27,Tinashe,rank,10,10
27,Mary Lou Retton,rank,9,9
27,John Schneider,rank,8,8
27,DeMarcus Ware,rank,7,7
27,Bobby Bones,rank,6,1
27,Joe Amabile,rank,5,6
27,Evanna Lynch,rank,1,3
27,Milo Manheim,rank,1,2
27,Alexis Ren,rank,1,4
27,Juan Pablo Di Pace,rank,1,5
27,Nikki Glaser,percent,13,13
27,Danelle Umstead,percent,12,12
27,Nancy McKeon,percent,11,11
27,Tinashe,percent,10,10
27,Mary Lou Retton,percent,9,9
27,DeMarcus Ware,percent,8,7
27,John Schneider,percent,7,8
27,Joe Amabile,percent,6,6
27,Juan Pablo Di Pace,percent,5,5
27,Evanna Lynch,percent,1,3
27,Milo Manheim,percent,1,2
27,Bobby Bones,percent,1,1
27,Alexis Ren,percent,1,4
28,Ray Lewis,fair,12,11
28,Mary Wilson,fair,11,12
28,Lamar Odom,fair,10,10
28,Sailor Brinkley-Cook,fair,9,9
28,Karamo Brown,fair,8,8
28,Kate Flannery,fair,7,7
28,Sean Spicer,fair,6,6
28,James Van Der Beek,fair,5,5
28,Kel Mitchell,fair,1,2
28,Lauren Alaina,fair,1,4
28,Ally Brooke,fair,1,3
28,Hannah Brown,fair,1,1
28,Mary Wilson,rank,12,12
28,Ray Lewis,rank,11,11
28,Lamar Odom,rank,10,10
28,Sailor Brinkley-Cook,rank,9,9
28,Karamo Brown,rank,8,8
28,Kate Flannery,rank,7,7
28,Sean Spicer,rank,6,6
28,James Van Der Beek,rank,5,5
28,Kel Mitchell,rank,1,2
28,Lauren Alaina,rank,1,4
28,Ally Brooke,rank,1,3
28,Hannah Brown,rank,1,1
28,Ray Lewis,percent,12,11
28,Mary Wilson,percent,11,12
28,Lamar Odom,percent,10,10
28,Sailor Brinkley-Cook,percent,9,9
28,Karamo Brown,percent,8,8
28,Kate Flannery,percent,7,7
28,Sean Spicer,percent,6,6
28,James Van Der Beek,percent,5,5
28,Kel Mitchell,percent,1,2
28,Lauren Alaina,percent,1,4
28,Ally Brooke,percent,1,3
28,Hannah Brown,percent,1,1
29,Charles Oakley,fair,15,15
29,Carole Baskin,fair,14,14
29,Anne Heche,fair,13,13
29,Jesse Metcalfe,fair,12,12
29,Veron Davis,fair,11,11
29,Monica Aldama,fair,10,10
29,Jeannie Mai,fair,9,9
29,Chrishell Stause,fair,8,8
29,AJ McLean,fair,7,7
29,Johnny Weir,fair,6,6
29,Skai Jackson,fair,5,5
29,Nev Schulman,fair,1,2
29,Nelly,fair,1,3
29,Justina Machado,fair,1,4
29,Kaitlyn Bristowe,fair,1,1
29,Charles Oakley,rank,15,15
29,Carole Baskin,rank,14,14
29,Anne Heche,rank,13,13
29,Jesse Metcalfe,rank,12,12
29,Veron Davis,rank,11,11
29,Jeannie Mai,rank,10,9
29,Monica Aldama,rank,9,10
29,Chrishell Stause,rank,8,8
29,AJ McLean,rank,7,7
29,Skai Jackson,rank,6,5
29,Johnny Weir,rank,5,6
29,Nev Schulman,rank,1,2
29,Nelly,rank,1,3
29,Justina Machado,rank,1,4
29,Kaitlyn Bristowe,rank,1,1
29,Charles Oakley,percent,15,15
29,Carole Baskin,percent,14,14
29,Anne Heche,percent,13,13
29,Jesse Metcalfe,percent,12,12
29,Veron Davis,percent,11,11
29,Monica Aldama,percent,10,10
29,Jeannie Mai,percent,9,9
29,Chrishell Stause,percent,8,8
29,AJ McLean,percent,7,7
29,Johnny Weir,percent,6,6
29,Skai Jackson,percent,5,5
29,Nev Schulman,percent,1,2
29,Nelly,percent,1,3
29,Justina Machado,percent,1,4
29,Kaitlyn Bristowe,percent,1,1
30,Martin Kove,fair,15,15
30,Christine Chiu,fair,14,14
30,Brian Austin Green,fair,13,13
30,Matt James,fair,12,12
30,Melanie C,fair,11,11
30,Kenya Moore,fair,10,10
30,"Mike ""The Miz"" Mizanin",fair,9,9
30,Jimmie Allen,fair,8,7
30,Olivia Jade,fair,7,8
30,Melora Hardin,fair,6,6
30,Suni Lee,fair,5,5
30,Amanda Kloots,fair,1,4
30,JoJo Siwa,fair,1,2
30,Iman Shumpert,fair,1,1
30,Cody Rigsby,fair,1,3
30,Martin Kove,rank,15,15
30,Christine Chiu,rank,14,14
30,Matt James,rank,13,12
30,Brian Austin Green,rank,12,13
30,Melanie C,rank,11,11
30,Kenya Moore,rank,10,10
30,"Mike ""The Miz"" Mizanin",rank,9,9
30,Olivia Jade,rank,8,8
30,Jimmie Allen,rank,7,7
30,Suni Lee,rank,6,5
30,Melora Hardin,rank,5,6
30,Amanda Kloots,rank,1,4
30,JoJo Siwa,rank,1,2
30,Iman Shumpert,rank,1,1
30,Cody Rigsby,rank,1,3
30,Martin Kove,percent,15,15
30,Christine Chiu,percent,14,14
30,Brian Austin Green,percent,13,13
30,Matt James,percent,12,12
30,Melanie C,percent,11,11
30,Kenya Moore,percent,10,10
30,"Mike ""The Miz"" Mizanin",percent,9,9
30,Jimmie Allen,percent,8,7
30,Olivia Jade,percent,7,8
30,Melora Hardin,percent,6,6
30,Suni Lee,percent,5,5
30,Amanda Kloots,percent,1,4
30,JoJo Siwa,percent,1,2
30,Iman Shumpert,percent,1,1
30,Cody Rigsby,percent,1,3
31,Jason Lewis,fair,16,16
31,Teresa Giudice,fair,15,15
31,Cheryl Ladd,fair,14,14
31,Sam Champion,fair,13,13
31,Joseph Baena,fair,12,11
31,Selma Blair,fair,11,12
31,Jessie James Decker,fair,10,10
31,Jordin Sparks,fair,9,9
31,Vinny Guadagnino,fair,8,7
31,Heidi D'Amelio,fair,7,8
31,Trevor Donovan,fair,6,6
31,Daniel Durant,fair,5,5
31,Charli D'Amelio,fair,1,1
31,Wayne Brady,fair,1,3
31,Gabby Windey,fair,1,2
31,Shangela,fair,1,4
31,Jason Lewis,rank,16,16
31,Teresa Giudice,rank,15,15
31,Cheryl Ladd,rank,14,14
31,Sam Champion,rank,13,13
31,Selma Blair,rank,12,12
31,Joseph Baena,rank,11,11
31,Jessie James Decker,rank,10,10
31,Jordin Sparks,rank,9,9
31,Heidi D'Amelio,rank,8,8
31,Vinny Guadagnino,rank,7,7
31,Daniel Durant,rank,6,5
31,Trevor Donovan,rank,5,6
31,Charli D'Amelio,rank,1,1
31,Wayne Brady,rank,1,3
31,Gabby Windey,rank,1,2
31,Shangela,rank,1,4
31,Jason Lewis,percent,16,16
31,Teresa Giudice,percent,15,15
31,Cheryl Ladd,percent,14,14
31,Sam Champion,percent,13,13
31,Joseph Baena,percent,12,11
31,Selma Blair,percent,11,12
31,Jessie James Decker,percent,10,10
31,Jordin Sparks,percent,9,9
31,Vinny Guadagnino,percent,8,7
31,Heidi D'Amelio,percent,7,8
31,Trevor Donovan,percent,6,6
31,Daniel Durant,percent,5,5
31,Charli D'Amelio,percent,1,1
31,Wayne Brady,percent,1,3
31,Gabby Windey,percent,1,2
31,Shangela,percent,1,4
32,Matt Walsh,fair,14,14
32,Jamie Lynn Spears,fair,13,13
32,Tyson Beckford,fair,12,12
32,Adrian Peterson,fair,11,11
32,Mira Sorvino,fair,10,10
32,Mauricio Umansky,fair,9,9
32,Lele Pons,fair,8,8
32,Barry Williams,fair,7,7
32,Harry Jowsey,fair,6,6
32,Jason Mraz,fair,1,2
32,Alyson Hannigan,fair,1,5
32,Xochitl Gomez,fair,1,1
32,Ariana Madix,fair,1,3
32,Charity Lawson,fair,1,4
32,Matt Walsh,rank,14,14
32,Jamie Lynn Spears,rank,13,13
32,Tyson Beckford,rank,12,12
32,Adrian Peterson,rank,11,11
32,Mira Sorvino,rank,10,10
32,Mauricio Umansky,rank,9,9
32,Lele Pons,rank,8,8
32,Barry Williams,rank,7,7
32,Harry Jowsey,rank,6,6
32,Jason Mraz,rank,1,2
32,Alyson Hannigan,rank,1,5
32,Xochitl Gomez,rank,1,1
32,Ariana Madix,rank,1,3
32,Charity Lawson,rank,1,4
32,Matt Walsh,percent,14,14
32,Jamie Lynn Spears,percent,13,13
32,Tyson Beckford,percent,12,12
32,Adrian Peterson,percent,11,11
32,Mira Sorvino,percent,10,10
32,Mauricio Umansky,percent,9,9
32,Lele Pons,percent,8,8
32,Barry Williams,percent,7,7
32,Harry Jowsey,percent,6,6
32,Jason Mraz,percent,1,2
32,Alyson Hannigan,percent,1,5
32,Xochitl Gomez,percent,1,1
32,Ariana Madix,percent,1,3
32,Charity Lawson,percent,1,4
33,Anna Delvey,fair,13,12
33,Tori Spelling,fair,12,12
33,Reginald VelJohnson,fair,11,10
33,Eric Roberts,fair,10,10
33,Brooks Nader,fair,9,9
33,Phaedra Parks,fair,8,8
33,Jenn Tran,fair,7,7
33,Dwight Howard ,fair,6,6
33,Danny Amendola,fair,1,5
33,Chandler Kinney,fair,1,3
33,Joey Graziadei,fair,1,1
33,Ilona Maher,fair,1,2
33,Stephen Nedoroscik,fair,1,4
33,Tori Spelling,rank,13,12
33,Anna Delvey,rank,12,12
33,Eric Roberts,rank,11,10
33,Reginald VelJohnson,rank,10,10
33,Brooks Nader,rank,9,9
33,Phaedra Parks,rank,8,8
33,Jenn Tran,rank,7,7
33,Dwight Howard ,rank,6,6
33,Danny Amendola,rank,1,5
33,Chandler Kinney,rank,1,3
33,Joey Graziadei,rank,1,1
33,Ilona Maher,rank,1,2
33,Stephen Nedoroscik,rank,1,4
33,Anna Delvey,percent,13,12
33,Tori Spelling,percent,12,12
33,Reginald VelJohnson,percent,11,10
33,Eric Roberts,percent,10,10
33,Brooks Nader,percent,9,9
33,Phaedra Parks,percent,8,8
33,Jenn Tran,percent,7,7
33,Dwight Howard ,percent,6,6
33,Danny Amendola,percent,1,5
33,Chandler Kinney,percent,1,3
33,Joey Graziadei,percent,1,1
33,Ilona Maher,percent,1,2
33,Stephen Nedoroscik,percent,1,4
34,Corey Feldman,fair,14,13
34,Baron Davis,fair,13,13
34,Lauren Jauregui,fair,12,12
34,Hilaria Baldwin,fair,11,11
34,Scott Hoying,fair,10,10
34,Jen Affleck,fair,9,9
34,Danielle Fishel,fair,8,8
34,Andy Richter,fair,7,7
34,Whitney Leavitt,fair,6,6
34,Alix Earle,fair,1,2
34,Jordan Chiles,fair,1,3
34,Elaine Hendrix,fair,1,5
34,Robert Irwin,fair,1,1
34,Dylan Efron,fair,1,4
34,Baron Davis,rank,14,13
34,Corey Feldman,rank,13,13
34,Lauren Jauregui,rank,12,12
34,Hilaria Baldwin,rank,11,11
34,Scott Hoying,rank,10,10
34,Jen Affleck,rank,9,9
34,Danielle Fishel,rank,8,8
34,Andy Richter,rank,7,7
34,Whitney Leavitt,rank,6,6
34,Alix Earle,rank,1,2
34,Jordan Chiles,rank,1,3
34,Elaine Hendrix,rank,1,5
34,Robert Irwin,rank,1,1
34,Dylan Efron,rank,1,4
34,Corey Feldman,percent,14,13
34,Baron Davis,percent,13,13
34,Lauren Jauregui,percent,12,12
34,Hilaria Baldwin,percent,11,11
34,Scott Hoying,percent,10,10
34,Jen Affleck,percent,9,9
34,Danielle Fishel,percent,8,8
34,Andy Richter,percent,7,7
34,Whitney Leavitt,percent,6,6
34,Alix Earle,percent,1,2
34,Jordan Chiles,percent,1,3
34,Elaine Hendrix,percent,1,5
34,Robert Irwin,percent,1,1
34,Dylan Efron,percent,1,4
