bottom_k_match,overlap,recall,precision,fan_align_conflict,judge_align_conflict,balance_gap,season,rule
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,6,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,6,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,6,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,9,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,9,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,9,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,fair
0.875,0.875,0.875,0.875,0.0,0.0,0.0,14,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,fair
0.8571428571428571,0.9047619047619048,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,22,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,fair
0.8571428571428571,0.9047619047619048,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,27,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,percent
1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,fair
1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,rank
1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,percent
