season,week,scheme,eliminated_count,bottom_k_match,deviation_count,overlap_ratio,recall,precision
1,2,rank,1,1,0,1.0,1.0,1.0
1,3,rank,1,1,0,1.0,1.0,1.0
1,4,rank,1,1,0,1.0,1.0,1.0
1,5,rank,1,1,0,1.0,1.0,1.0
2,1,rank,1,1,0,1.0,1.0,1.0
2,2,rank,1,1,0,1.0,1.0,1.0
2,3,rank,1,1,0,1.0,1.0,1.0
2,4,rank,1,1,0,1.0,1.0,1.0
2,5,rank,1,1,0,1.0,1.0,1.0
2,6,rank,1,1,0,1.0,1.0,1.0
2,7,rank,1,1,0,1.0,1.0,1.0
3,1,percent,1,1,0,1.0,1.0,1.0
3,2,percent,1,1,0,1.0,1.0,1.0
3,3,percent,1,1,0,1.0,1.0,1.0
3,4,percent,1,1,0,1.0,1.0,1.0
3,5,percent,2,1,0,1.0,1.0,1.0
3,7,percent,1,1,0,1.0,1.0,1.0
3,8,percent,1,1,0,1.0,1.0,1.0
3,9,percent,1,1,0,1.0,1.0,1.0
4,2,percent,1,1,0,1.0,1.0,1.0
4,3,percent,1,1,0,1.0,1.0,1.0
4,4,percent,1,1,0,1.0,1.0,1.0
4,5,percent,1,1,0,1.0,1.0,1.0
4,6,percent,1,1,0,1.0,1.0,1.0
4,7,percent,1,1,0,1.0,1.0,1.0
4,8,percent,1,1,0,1.0,1.0,1.0
4,9,percent,1,1,0,1.0,1.0,1.0
5,1,percent,1,1,0,1.0,1.0,1.0
5,2,percent,1,1,0,1.0,1.0,1.0
5,3,percent,1,1,0,1.0,1.0,1.0
5,4,percent,1,1,0,1.0,1.0,1.0
5,5,percent,1,1,0,1.0,1.0,1.0
5,6,percent,1,1,0,1.0,1.0,1.0
5,7,percent,1,1,0,1.0,1.0,1.0
5,8,percent,1,1,0,1.0,1.0,1.0
5,9,percent,1,1,0,1.0,1.0,1.0
6,2,percent,2,1,0,1.0,1.0,1.0
6,3,percent,1,1,0,1.0,1.0,1.0
6,4,percent,1,1,0,1.0,1.0,1.0
6,5,percent,1,1,0,1.0,1.0,1.0
6,6,percent,1,1,0,1.0,1.0,1.0
6,7,percent,1,1,0,1.0,1.0,1.0
6,8,percent,1,1,0,1.0,1.0,1.0
6,9,percent,1,1,0,1.0,1.0,1.0
7,1,percent,2,1,0,1.0,1.0,1.0
7,2,percent,2,1,0,1.0,1.0,1.0
7,4,percent,1,1,0,1.0,1.0,1.0
7,5,percent,1,1,0,1.0,1.0,1.0
7,6,percent,1,1,0,1.0,1.0,1.0
7,7,percent,1,1,0,1.0,1.0,1.0
7,8,percent,1,1,0,1.0,1.0,1.0
7,9,percent,1,1,0,1.0,1.0,1.0
8,2,percent,1,1,0,1.0,1.0,1.0
8,3,percent,1,1,0,1.0,1.0,1.0
8,4,percent,2,1,0,1.0,1.0,1.0
8,5,percent,1,1,0,1.0,1.0,1.0
8,6,percent,1,1,0,1.0,1.0,1.0
8,7,percent,1,1,0,1.0,1.0,1.0
8,8,percent,1,1,0,1.0,1.0,1.0
8,9,percent,1,1,0,1.0,1.0,1.0
8,10,percent,1,1,0,1.0,1.0,1.0
9,1,percent,2,1,0,1.0,1.0,1.0
9,2,percent,1,1,0,1.0,1.0,1.0
9,3,percent,2,1,0,1.0,1.0,1.0
9,4,percent,1,1,0,1.0,1.0,1.0
9,5,percent,1,1,0,1.0,1.0,1.0
9,6,percent,2,1,0,1.0,1.0,1.0
9,7,percent,2,1,0,1.0,1.0,1.0
9,8,percent,1,1,0,1.0,1.0,1.0
9,9,percent,1,1,0,1.0,1.0,1.0
10,2,percent,1,1,0,1.0,1.0,1.0
10,3,percent,1,1,0,1.0,1.0,1.0
10,4,percent,1,1,0,1.0,1.0,1.0
10,5,percent,1,1,0,1.0,1.0,1.0
10,6,percent,1,1,0,1.0,1.0,1.0
10,7,percent,1,1,0,1.0,1.0,1.0
10,8,percent,1,1,0,1.0,1.0,1.0
10,9,percent,1,1,0,1.0,1.0,1.0
11,1,percent,1,1,0,1.0,1.0,1.0
11,2,percent,1,1,0,1.0,1.0,1.0
11,3,percent,1,1,0,1.0,1.0,1.0
11,4,percent,1,1,0,1.0,1.0,1.0
11,5,percent,1,1,0,1.0,1.0,1.0
11,6,percent,1,1,0,1.0,1.0,1.0
11,7,percent,1,1,0,1.0,1.0,1.0
11,8,percent,1,1,0,1.0,1.0,1.0
11,9,percent,1,1,0,1.0,1.0,1.0
12,2,percent,1,1,0,1.0,1.0,1.0
12,3,percent,1,1,0,1.0,1.0,1.0
12,4,percent,1,1,0,1.0,1.0,1.0
12,5,percent,1,1,0,1.0,1.0,1.0
12,6,percent,1,1,0,1.0,1.0,1.0
12,7,percent,1,1,0,1.0,1.0,1.0
12,8,percent,1,1,0,1.0,1.0,1.0
12,9,percent,1,1,0,1.0,1.0,1.0
13,1,percent,1,1,0,1.0,1.0,1.0
13,2,percent,1,1,0,1.0,1.0,1.0
13,3,percent,1,1,0,1.0,1.0,1.0
13,4,percent,1,1,0,1.0,1.0,1.0
13,5,percent,1,1,0,1.0,1.0,1.0
13,6,percent,1,1,0,1.0,1.0,1.0
13,7,percent,1,1,0,1.0,1.0,1.0
13,8,percent,1,1,0,1.0,1.0,1.0
13,9,percent,1,1,0,1.0,1.0,1.0
14,2,percent,1,1,0,1.0,1.0,1.0
14,3,percent,1,1,0,1.0,1.0,1.0
14,4,percent,1,1,0,1.0,1.0,1.0
14,5,percent,1,1,0,1.0,1.0,1.0
14,6,percent,1,1,0,1.0,1.0,1.0
14,7,percent,1,1,0,1.0,1.0,1.0
14,8,percent,2,1,0,1.0,1.0,1.0
14,9,percent,1,1,0,1.0,1.0,1.0
15,1,percent,1,1,0,1.0,1.0,1.0
15,2,percent,1,1,0,1.0,1.0,1.0
15,3,percent,2,1,0,1.0,1.0,1.0
15,4,percent,1,1,0,1.0,1.0,1.0
15,6,percent,1,1,0,1.0,1.0,1.0
15,8,percent,2,1,0,1.0,1.0,1.0
15,9,percent,2,1,0,1.0,1.0,1.0
16,2,percent,1,1,0,1.0,1.0,1.0
16,3,percent,1,1,0,1.0,1.0,1.0
16,4,percent,1,1,0,1.0,1.0,1.0
16,5,percent,1,1,0,1.0,1.0,1.0
16,6,percent,1,1,0,1.0,1.0,1.0
16,7,percent,1,1,0,1.0,1.0,1.0
16,8,percent,1,1,0,1.0,1.0,1.0
16,9,percent,1,1,0,1.0,1.0,1.0
17,2,percent,1,1,0,1.0,1.0,1.0
17,3,percent,1,1,0,1.0,1.0,1.0
17,4,percent,1,1,0,1.0,1.0,1.0
17,5,percent,1,1,0,1.0,1.0,1.0
17,7,percent,1,1,0,1.0,1.0,1.0
17,8,percent,1,1,0,1.0,1.0,1.0
17,9,percent,1,1,0,1.0,1.0,1.0
17,10,percent,1,1,0,1.0,1.0,1.0
18,1,percent,1,1,0,1.0,1.0,1.0
18,2,percent,2,1,0,1.0,1.0,1.0
18,5,percent,1,1,0,1.0,1.0,1.0
18,6,percent,1,1,0,1.0,1.0,1.0
18,7,percent,1,1,0,1.0,1.0,1.0
18,8,percent,1,1,0,1.0,1.0,1.0
18,9,percent,1,1,0,1.0,1.0,1.0
19,1,percent,1,1,0,1.0,1.0,1.0
19,2,percent,1,1,0,1.0,1.0,1.0
19,3,percent,1,1,0,1.0,1.0,1.0
19,4,percent,1,1,0,1.0,1.0,1.0
19,6,percent,1,1,0,1.0,1.0,1.0
19,7,percent,1,1,0,1.0,1.0,1.0
19,8,percent,1,1,0,1.0,1.0,1.0
19,9,percent,1,1,0,1.0,1.0,1.0
19,10,percent,1,1,0,1.0,1.0,1.0
20,2,percent,1,1,0,1.0,1.0,1.0
20,3,percent,1,1,0,1.0,1.0,1.0
20,4,percent,1,1,0,1.0,1.0,1.0
20,5,percent,1,1,0,1.0,1.0,1.0
20,6,percent,1,1,0,1.0,1.0,1.0
20,7,percent,1,1,0,1.0,1.0,1.0
20,8,percent,2,1,0,1.0,1.0,1.0
20,9,percent,1,1,0,1.0,1.0,1.0
21,4,percent,1,1,0,1.0,1.0,1.0
21,6,percent,1,1,0,1.0,1.0,1.0
21,7,percent,1,1,0,1.0,1.0,1.0
21,8,percent,1,1,0,1.0,1.0,1.0
21,9,percent,2,1,0,1.0,1.0,1.0
22,2,percent,1,1,0,1.0,1.0,1.0
22,3,percent,1,1,0,1.0,1.0,1.0
22,4,percent,1,1,0,1.0,1.0,1.0
22,6,percent,1,1,0,1.0,1.0,1.0
22,7,percent,2,1,0,1.0,1.0,1.0
22,8,percent,1,1,0,1.0,1.0,1.0
22,9,percent,2,1,0,1.0,1.0,1.0
23,2,percent,1,1,0,1.0,1.0,1.0
23,3,percent,1,1,0,1.0,1.0,1.0
23,4,percent,2,1,0,1.0,1.0,1.0
23,6,percent,1,1,0,1.0,1.0,1.0
23,7,percent,1,1,0,1.0,1.0,1.0
23,8,percent,1,1,0,1.0,1.0,1.0
23,9,percent,1,1,0,1.0,1.0,1.0
23,10,percent,1,1,0,1.0,1.0,1.0
24,2,percent,1,1,0,1.0,1.0,1.0
24,3,percent,1,1,0,1.0,1.0,1.0
24,4,percent,1,1,0,1.0,1.0,1.0
24,5,percent,1,1,0,1.0,1.0,1.0
24,6,percent,1,1,0,1.0,1.0,1.0
24,7,percent,2,1,0,1.0,1.0,1.0
24,8,percent,1,1,0,1.0,1.0,1.0
24,9,percent,1,1,0,1.0,1.0,1.0
25,2,percent,2,1,0,1.0,1.0,1.0
25,4,percent,1,1,0,1.0,1.0,1.0
25,5,percent,1,1,0,1.0,1.0,1.0
25,6,percent,1,1,0,1.0,1.0,1.0
25,7,percent,2,1,0,1.0,1.0,1.0
25,8,percent,1,1,0,1.0,1.0,1.0
25,9,percent,1,1,0,1.0,1.0,1.0
26,1,percent,2,1,0,1.0,1.0,1.0
26,2,percent,2,1,0,1.0,1.0,1.0
27,1,percent,1,1,0,1.0,1.0,1.0
27,2,percent,1,1,0,1.0,1.0,1.0
27,3,percent,1,1,0,1.0,1.0,1.0
27,4,percent,1,1,0,1.0,1.0,1.0
27,6,percent,1,1,0,1.0,1.0,1.0
27,7,percent,2,1,0,1.0,1.0,1.0
27,8,percent,2,1,0,1.0,1.0,1.0
28,2,rank,2,1,0,1.0,1.0,1.0
28,4,rank,1,1,0,1.0,1.0,1.0
28,6,rank,1,1,0,1.0,1.0,1.0
28,7,rank,1,1,0,1.0,1.0,1.0
28,8,rank,1,1,0,1.0,1.0,1.0
28,9,rank,1,1,0,1.0,1.0,1.0
28,10,rank,1,1,0,1.0,1.0,1.0
29,2,rank,1,1,0,1.0,1.0,1.0
29,3,rank,1,1,0,1.0,1.0,1.0
29,4,rank,1,1,0,1.0,1.0,1.0
29,5,rank,1,1,0,1.0,1.0,1.0
29,6,rank,1,1,0,1.0,1.0,1.0
29,7,rank,2,1,0,1.0,1.0,1.0
29,8,rank,1,1,0,1.0,1.0,1.0
29,9,rank,1,1,0,1.0,1.0,1.0
29,10,rank,2,1,0,1.0,1.0,1.0
30,2,rank,1,1,0,1.0,1.0,1.0
30,3,rank,1,1,0,1.0,1.0,1.0
30,4,rank,2,1,0,1.0,1.0,1.0
30,5,rank,1,1,0,1.0,1.0,1.0
30,6,rank,1,1,0,1.0,1.0,1.0
30,7,rank,1,1,0,1.0,1.0,1.0
30,8,rank,2,1,0,1.0,1.0,1.0
30,9,rank,2,1,0,1.0,1.0,1.0
31,1,rank,1,1,0,1.0,1.0,1.0
31,2,rank,1,1,0,1.0,1.0,1.0
31,3,rank,1,1,0,1.0,1.0,1.0
31,4,rank,1,1,0,1.0,1.0,1.0
31,5,rank,2,1,0,1.0,1.0,1.0
31,6,rank,1,1,0,1.0,1.0,1.0
31,7,rank,1,1,0,1.0,1.0,1.0
31,8,rank,2,1,0,1.0,1.0,1.0
31,9,rank,2,1,0,1.0,1.0,1.0
32,1,rank,1,1,0,1.0,1.0,1.0
32,2,rank,1,1,0,1.0,1.0,1.0
32,3,rank,1,1,0,1.0,1.0,1.0
32,4,rank,1,1,0,1.0,1.0,1.0
32,5,rank,1,1,0,1.0,1.0,1.0
32,6,rank,1,1,0,1.0,1.0,1.0
32,7,rank,1,1,0,1.0,1.0,1.0
32,8,rank,1,1,0,1.0,1.0,1.0
32,9,rank,1,1,0,1.0,1.0,1.0
33,2,rank,2,1,0,1.0,1.0,1.0
33,3,rank,2,1,0,1.0,1.0,1.0
33,4,rank,1,1,0,1.0,1.0,1.0
33,5,rank,1,1,0,1.0,1.0,1.0
33,6,rank,1,1,0,1.0,1.0,1.0
33,7,rank,1,1,0,1.0,1.0,1.0
34,2,rank,2,1,0,1.0,1.0,1.0
34,3,rank,1,1,0,1.0,1.0,1.0
34,4,rank,1,1,0,1.0,1.0,1.0
34,6,rank,1,1,0,1.0,1.0,1.0
34,7,rank,1,1,0,1.0,1.0,1.0
34,8,rank,1,1,0,1.0,1.0,1.0
34,9,rank,1,1,0,1.0,1.0,1.0
34,10,rank,1,1,0,1.0,1.0,1.0
